# ITA, ITB, ITC, IAC, CAT, EMT = Inv. Tit. A ,B, C, Aso C, Catedratico, Emerito
# TAA, TAB, TAC = Tec. Tit. A, B, C,
# EC, DG. FE, MI, CD, AE        =  Extragalactica y Cosmologia, Dinamica Galactica, Fisica Estelar, Medio Interestelar, Ciencia de datos, Altas Energias
name_1,name_2,last_1,last_2,gender,position,area,orcid
hector, ,aceves,campos, male, ITB, EC, 
luis,alberto,aguilar,chiu, male, ITB, EC, 
christine,patricia,allen,armino, female, ITB, DG,0000-0001-8845-4872 
miguel,angel,aragon,calvo, male, ITA, EC, 
armando, ,arellano,ferro, male, ITC, FE,0000-0002-8514-2395
vladimir,anton,avila,reese, male, ITC, EC,0000-0002-3461-2342
jorge,karolt,barrera,ballesteros, male, ITA, EC,0000-0003-2405-7258
erika,maria,benitez,lizaola, female, ITA, EC,0000-0003-1018-2613
joseph,aurele,luc,binette, male, ITC, MI,0000-0001-8117-0615 
mariana,nan,cano,diaz, female, CAT, EC,0000-0001-9553-8230
jorge,daniel,canto,illa, male, EMT, MI,0000-0003-3863-7114
maria,leticia,carigi,delgado, female, ITB, MI,0000-0002-2023-466X
joel,humberto,castro,chacon, male, CAT, CD, 
carlos,alfredo,chavarria,kleinhenn, male, ITB, ,
alejandro,nan,cruz,osorio, male, IAC, EC,0000-0002-3945-6342
irene,antonia,cruz,gonzalez, female, ITC, EC,0000-0002-2653-1120
salvador,nan,curiel,ramirez, male, ITC, FE,0000-0003-4576-0436
jose,antonio,dediego,onsurbe, male, ITB, EC,0000-0001-7040-069X
deborah,nan,dultzin,kessler, female, EMT, EC,0000-0001-5756-8842
juan,manuel,echevarria,roman, male, ITC, FE,0000-0001-5960-3023
julieta,norma,fierro,gossman, female, ITB, , 
jose,daniel,flores,gutierrez, male, TAB, , 
lester,ivan,fox,machado, male, ITA, FE, 
nissim,illich,fraija,cabrera, male, ITA, AE,0000-0002-0173-6453
jose,dejesus,franco,lopez, male, ITC, EC,0000-0003-2721-7974
maria,teresa,garcia,diaz, female, ITA, FE,  
guillermo,miguel,garcia,segura, male, ITA, FE,0000-0002-9899-2292
jose,antonio,garcia,barreto, male, ITB, EC,  
yilen,gomez,maqueo,chew, female, ITB, FE,0000-0002-7486-6726
jose,dejesus,gonzalez,gonzalez, male, ITA, EC, 0000-0002-3724-1583
maria,magdalena,gonzalez,sanchez, female, ITB, AE,0000-0002-5209-5641
diego,hernando,gonzalez,buitrago, male, CAT, AE,0000-0002-9280-1184 
carlos,alberto,guerrero,pena, male, TAA, , 
hector,manuel,hernandez,toledo, male, ITA, EC, 
jesus,omar,hernandez,alarcon, male, ITB, MI,0000-0001-9797-5661
xavier,nicolas,hernandez,doring, male, ITC, EC,0000-0002-7778-6457
david,salome,hiriart,garcia, male, ITB, EC, 
hector,nan,ibarra,medel, male, IAC, EC,0000-0002-9790-6313
serguei,nan,jarikov,nan, male, ITB, FE,0000-0003-2526-2683
aida,nan,kirichenko,nan, female, IAC, FE, 
yair,emmanuel,krongold,herrera, male, ITC, EC,0000-0001-6291-5239
william,henry,lee,alardin, male, ITB, AE,0000-0002-2467-5673
anna,lia,longinotti,nan, female, ITA, EC,0000-0001-8825-3624
jose,alberto,lopez,garcia, male, ITC, MI, 
diego,lopez,camara,ramirez, male, CAT, FE,0000-0001-9512-4177
esteban,antolin,luna,aguilar, male, ITB, CD, 
luis,alberto,martinez,medina, male, IAC, EC,0000-0002-5749-8255 
marco,antonio,martos,nunezdecaceres, male, ITA, EC,0000-0003-3275-0626
sergio,nan,mendoza,ramos, male, ITA, AE, 
raul,nan,michel,murillo, male, ITB, FE, 
takamitsu,nan,miyaji,nan, male, ITB, EC,0000-0002-7562-485X
christophe,nan,morisset,nan, male, ITC, FE,0000-0001-5801-6724
nadia,mariel,murillo,mejias, female, IAC, FE, 
aida,hortensia,wofford,bencheikh, female, ITA, FE,0000-0001-8289-3428
castalia,alenka,negrete,penaloza, female, CAT, EC,0000-0002-1656-827X
valeri,nan,orlov,nan, male, ITB, FE,0000-0002-4650-2984
dany,pierre,page,rollinet, male, ITC, AE,0000-0003-2498-4326
antonio,nan,peimbert,torres, male, ITB, MI,0000-0001-7042-2207
manuel,nan,peimbert,sierra, male, EMT, MI,0000-0002-0822-7109
miriam,delcarmen,pena,cardenas, female, ITC, MI, 0009-0007-5891-420X
jose,hermenegildo,pena,saintmartin, male, ITC, FE,0000-0003-3915-9759
emma,margarita,pereyra,talamantes, female, CAT, FE, 
maria,delosangeles,perez,villegas, female, IAC, EC,0000-0002-5974-3998
julio,cesar,ramirez,velez, male, ITA, FE, 
mauricio,nan,reyes,ruiz, male, ITB, CD,0000-0001-5234-0486
michael,gerard,richer,nan, male, ITB, EC,0000-0003-4757-1153
aldo,armando,rodriguez,puebla, male, ITA, EC,0000-0002-0170-5358
carlos,gerardo,roman,zuniga, male, ITB, FE,0000-0001-8600-4798
margarita,eugeniadelsocorro,rosado,solis, female, ITC, EC,0000-0003-1113-2140
roberto,alejandro,ruelas,mayorga, male, ITA, FE,0000-0002-7800-1308
laurence,nan,sabin,nan, female, ITA, FE,0000-0003-0242-0044
luis,nan,salas,casales, male, ITB, FE, 
joel,nan,sanchez,bermudez, male, ITA, FE,0000-0002-9723-0421
francisco,javier,sanchez,salcedo, male, ITB, EC,0000-0003-2416-2525
